"","image2","unique_pair","image1","image_path","target_id","distractor_id","text1","text2","full_phrase_language","full_phrase","trial_type_id","dataset_id","vanilla_trial"
"183","novel1.jpg","503_510","sock_left.jpg","pomper_salientme",510,503,"sock","purple unfamiliar object","eng","Find the sock",1457,13,0
"184","novel2.jpg","502_511","chair_right.jpg","pomper_salientme",511,502,"chair","orange-yellow unfamiliar object","eng","Look at the chair",1458,13,0
"185","novel3.jpg","509_512","fish_right.jpg","pomper_salientme",512,509,"fish","green unfamiliar object","eng","Where is the fish",1459,13,0
"186","novel3.jpg","509_513","juice.jpg","pomper_salientme",513,509,"juice","green unfamiliar object","eng","Look at the juice",1460,13,0
"187","sock_right.jpg","503_527","novel1.jpg","pomper_salientme",503,527,"purple unfamiliar object","sock","eng","Where is the pifo",1462,13,0
"188","cake_left.jpg","507_528","novel4.jpg","pomper_salientme",507,528,"blue unfamiliar object","cake","eng","Look at the jang",1463,13,0
"189","bed_left.jpg","503_520","novel1.jpg","pomper_salientme",503,520,"purple unfamiliar object","bed","eng","Find the pifo",1464,13,0
"190","novel4.jpg","507_515","bus_left.jpg","pomper_salientme",515,507,"bus","blue unfamiliar object","eng","Look at the bus",1465,13,0
"191","cat_left.jpg","507_529","novel4.jpg","pomper_salientme",507,529,"blue unfamiliar object","cat","eng","Where is the jang",1468,13,0
"192","novel3.jpg","509_517","bird_left.jpg","pomper_salientme",517,509,"bird","green unfamiliar object","eng","Find the bird",1469,13,0
"193","cake_right.jpg","519_522","novel4.jpg","pomper_salientme",522,519,"blue unfamiliar object","cake","eng","Where is the sprock",1490,13,0
"194","fish_left.jpg","521_525","novel3.jpg","pomper_salientme",521,525,"green unfamiliar object","fish","eng","Find the pifo",1491,13,0
"195","novel2.jpg","504_524","chair_left.jpg","pomper_salientme",504,524,"chair","orange-yellow unfamiliar object","eng","Look at the chair",1492,13,0
"196","novel1.jpg","505_523","bed_right.jpg","pomper_salientme",505,523,"bed","purple unfamiliar object","eng","Find the bed",1493,13,0
"197","novel4.jpg","506_522","bus_right.jpg","pomper_salientme",506,522,"bus","blue unfamiliar object","eng","Where is the bus",1494,13,0
"198","door.jpg","518_524","novel2.jpg","pomper_salientme",524,518,"orange-yellow unfamiliar object","door","eng","Look at the jang",1495,13,0
"199","bird_right.jpg","521_526","novel3.jpg","pomper_salientme",521,526,"green unfamiliar object","bird","eng","Where is the pifo",1496,13,0
"200","novel4.jpg","508_522","cat_right.jpg","pomper_salientme",508,522,"cat","blue unfamiliar object","eng","Look at the cat",1497,13,0
"201","brush.jpg","516_523","novel1.jpg","pomper_salientme",523,516,"purple unfamiliar object","brush","eng","Find the tever",1498,13,0
"202","box.jpg","514_524","novel2.jpg","pomper_salientme",524,514,"orange-yellow unfamiliar object","box","eng","Where is the jang",1499,13,0
"203","novel1.jpg","510_523","sock_left.jpg","pomper_salientme",510,523,"sock","purple unfamiliar object","eng","Find the sock",1500,13,0
"204","novel2.jpg","511_524","chair_right.jpg","pomper_salientme",511,524,"chair","orange-yellow unfamiliar object","eng","Look at the chair",1501,13,0
"205","novel3.jpg","512_521","fish_right.jpg","pomper_salientme",512,521,"fish","green unfamiliar object","eng","Where is the fish",1502,13,0
"206","novel3.jpg","513_521","juice.jpg","pomper_salientme",513,521,"juice","green unfamiliar object","eng","Look at the juice",1503,13,0
"207","sock_right.jpg","523_527","novel1.jpg","pomper_salientme",523,527,"purple unfamiliar object","sock","eng","Where is the tever",1505,13,0
"208","cake_left.jpg","522_528","novel4.jpg","pomper_salientme",522,528,"blue unfamiliar object","cake","eng","Look at the sprock",1506,13,0
"209","bed_left.jpg","520_523","novel1.jpg","pomper_salientme",523,520,"purple unfamiliar object","bed","eng","Find the tever",1507,13,0
"210","novel4.jpg","515_522","bus_left.jpg","pomper_salientme",515,522,"bus","blue unfamiliar object","eng","Look at the bus",1508,13,0
"211","cat_left.jpg","522_529","novel4.jpg","pomper_salientme",522,529,"blue unfamiliar object","cat","eng","Where is the sprock",1511,13,0
"212","novel3.jpg","517_521","bird_left.jpg","pomper_salientme",517,521,"bird","green unfamiliar object","eng","Find the bird",1512,13,0
"213","L2.034_right.png","598_599","L2.034_left.png","yoon_simpimp_2015",598,599,"banana","carrot","eng",NA,1616,15,1
"214","L1.020_right.png","554_555","L1.020_left.png","yoon_simpimp_2015",554,555,"banana","carrot","eng",NA,1617,15,1
